TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
144;0;0.765;1.53;2.295;3.06;3.82;4.58;5.504;6.428;6.654;6.88;7.46;8.04;8.629;9.218;9.709;10.2;10.75;11.3;11.653;12.178;12.858;13.538;14.018;14.498;14.969;15.44;15.7;15.96;16.364;16.768;16.72;16.672;16.625;16.577;16.529;16.481;16.433;16.386;16.338;16.29;16.211;16.132;16.053;15.974;15.895;15.816;15.737;15.658;15.579;15.5;15.405;15.31;15.215;15.12;15.026;14.931;14.836;14.741;14.646;14.551;14.456;14.361;14.266;14.171;14.077;13.982;13.887;13.792;13.697;13.602
145;0;0.75;1.5;2.25;3;3.75;4.5;5.43;6.36;6.58;6.8;7.375;7.95;8.525;9.1;9.6;10.1;10.6;11.1;11.475;12.02;12.71;13.4;13.89;14.38;14.87;15.36;15.66;15.96;16.355;16.75;16.7;16.65;16.6;16.55;16.5;16.45;16.4;16.35;16.3;16.25;16.175;16.1;16.025;15.95;15.875;15.8;15.725;15.65;15.575;15.5;15.403;15.305;15.208;15.11;15.013;14.915;14.818;14.72;14.623;14.525;14.428;14.33;14.233;14.135;14.038;13.94;13.843;13.745;13.648;13.55
146;0;0.73;1.46;2.19;2.92;3.67;4.42;5.344;6.268;6.484;6.7;7.25;7.8;8.37;8.94;9.45;9.96;10.46;10.96;11.337;11.882;12.562;13.242;13.732;14.222;14.727;15.232;15.556;15.88;16.295;16.71;16.66;16.61;16.561;16.511;16.461;16.411;16.361;16.312;16.262;16.212;16.137;16.062;15.986;15.911;15.836;15.761;15.686;15.61;15.535;15.46;15.357;15.255;15.152;15.05;14.947;14.844;14.742;14.639;14.537;14.434;14.331;14.229;14.126;14.024;13.921;13.818;13.716;13.613;13.511;13.408
147;0;0.71;1.42;2.13;2.84;3.59;4.34;5.258;6.176;6.388;6.6;7.125;7.65;8.215;8.78;9.3;9.82;10.32;10.82;11.199;11.744;12.414;13.084;13.574;14.064;14.584;15.104;15.452;15.8;16.235;16.67;16.62;16.571;16.521;16.472;16.422;16.372;16.323;16.273;16.224;16.174;16.099;16.023;15.948;15.872;15.797;15.722;15.646;15.571;15.495;15.42;15.312;15.205;15.097;14.989;14.882;14.774;14.666;14.558;14.451;14.343;14.235;14.128;14.02;13.912;13.805;13.697;13.589;13.481;13.374;13.266
148;0;0.69;1.38;2.07;2.76;3.51;4.26;5.172;6.084;6.292;6.5;7;7.5;8.06;8.62;9.15;9.68;10.18;10.68;11.061;11.606;12.266;12.926;13.416;13.906;14.441;14.976;15.348;15.72;16.175;16.63;16.581;16.531;16.482;16.432;16.383;16.334;16.284;16.235;16.185;16.136;16.06;15.985;15.909;15.834;15.758;15.682;15.607;15.531;15.456;15.38;15.267;15.154;15.042;14.929;14.816;14.703;14.59;14.478;14.365;14.252;14.139;14.026;13.914;13.801;13.688;13.575;13.462;13.35;13.237;13.124
149;0;0.67;1.34;2.01;2.68;3.43;4.18;5.086;5.992;6.196;6.4;6.875;7.35;7.905;8.46;9;9.54;10.04;10.54;10.923;11.468;12.118;12.768;13.258;13.748;14.298;14.848;15.244;15.64;16.115;16.59;16.541;16.492;16.442;16.393;16.344;16.295;16.246;16.196;16.147;16.098;16.022;15.946;15.871;15.795;15.719;15.643;15.567;15.492;15.416;15.34;15.222;15.104;14.986;14.868;14.751;14.633;14.515;14.397;14.279;14.161;14.043;13.925;13.807;13.689;13.572;13.454;13.336;13.218;13.1;12.982
150;0;0.65;1.3;1.95;2.6;3.35;4.1;5;5.9;6.1;6.3;6.75;7.2;7.75;8.3;8.85;9.4;9.9;10.4;10.785;11.33;11.97;12.61;13.1;13.59;14.155;14.72;15.14;15.56;16.055;16.55;16.501;16.452;16.403;16.354;16.305;16.256;16.207;16.158;16.109;16.06;15.984;15.908;15.832;15.756;15.68;15.604;15.528;15.452;15.376;15.3;15.177;15.054;14.931;14.808;14.685;14.562;14.439;14.316;14.193;14.07;13.947;13.824;13.701;13.578;13.455;13.332;13.209;13.086;12.963;12.84
151;0;0.63;1.26;1.89;2.52;3.25;3.98;4.882;5.784;5.982;6.18;6.62;7.06;7.59;8.12;8.66;9.2;9.7;10.2;10.559;11.074;11.704;12.334;12.834;13.334;13.934;14.534;14.969;15.404;15.888;16.372;16.323;16.274;16.225;16.176;16.127;16.078;16.029;15.98;15.931;15.882;15.792;15.72;15.649;15.577;15.505;15.433;15.361;15.29;15.218;15.146;15.02;14.894;14.769;14.643;14.517;14.391;14.265;14.14;14.014;13.888;13.762;13.636;13.511;13.385;13.259;13.133;13.007;12.882;12.756;12.63
152;0;0.61;1.22;1.83;2.44;3.15;3.86;4.764;5.668;5.864;6.06;6.49;6.92;7.43;7.94;8.47;9;9.5;10;10.333;10.818;11.438;12.058;12.568;13.078;13.713;14.348;14.798;15.248;15.721;16.194;16.145;16.096;16.047;15.998;15.949;15.9;15.851;15.802;15.753;15.704;15.6;15.533;15.465;15.398;15.33;15.262;15.195;15.127;15.06;14.992;14.863;14.735;14.606;14.478;14.349;14.22;14.092;13.963;13.835;13.706;13.577;13.449;13.32;13.192;13.063;12.934;12.806;12.677;12.549;12.42
153;0;0.59;1.18;1.77;2.36;3.05;3.74;4.646;5.552;5.746;5.94;6.36;6.78;7.27;7.76;8.28;8.8;9.3;9.8;10.107;10.562;11.172;11.782;12.302;12.822;13.492;14.162;14.627;15.092;15.554;16.016;15.967;15.918;15.869;15.82;15.771;15.722;15.673;15.624;15.575;15.526;15.409;15.345;15.282;15.218;15.155;15.092;15.028;14.965;14.901;14.838;14.707;14.575;14.444;14.312;14.181;14.05;13.918;13.787;13.655;13.524;13.393;13.261;13.13;12.998;12.867;12.736;12.604;12.473;12.341;12.21
154;0;0.57;1.14;1.71;2.28;2.95;3.62;4.528;5.436;5.628;5.82;6.23;6.64;7.11;7.58;8.09;8.6;9.1;9.6;9.881;10.306;10.906;11.506;12.036;12.566;13.271;13.976;14.456;14.936;15.387;15.838;15.789;15.74;15.691;15.642;15.593;15.544;15.495;15.446;15.397;15.348;15.217;15.158;15.098;15.039;14.98;14.921;14.862;14.802;14.743;14.684;14.55;14.416;14.281;14.147;14.013;13.879;13.745;13.61;13.476;13.342;13.208;13.074;12.939;12.805;12.671;12.537;12.403;12.268;12.134;12
155;0;0.55;1.1;1.65;2.2;2.85;3.5;4.41;5.32;5.51;5.7;6.1;6.5;6.95;7.4;7.9;8.4;8.9;9.4;9.655;10.05;10.64;11.23;11.77;12.31;13.05;13.79;14.285;14.78;15.22;15.66;15.611;15.562;15.513;15.464;15.415;15.366;15.317;15.268;15.219;15.17;15.025;14.97;14.915;14.86;14.805;14.75;14.695;14.64;14.585;14.53;14.393;14.256;14.119;13.982;13.845;13.708;13.571;13.434;13.297;13.16;13.023;12.886;12.749;12.612;12.475;12.338;12.201;12.064;11.927;11.79
156;0;0.535;1.07;1.605;2.14;2.78;3.42;4.309;5.198;5.389;5.58;5.99;6.4;6.83;7.26;7.75;8.24;8.738;9.236;9.465;9.832;10.383;10.934;11.465;11.996;12.735;13.474;13.959;14.444;14.895;15.346;15.299;15.252;15.204;15.157;15.11;15.063;15.016;14.968;14.921;14.874;14.686;14.637;14.587;14.538;14.488;14.438;14.389;14.339;14.29;14.24;14.104;13.969;13.833;13.697;13.562;13.426;13.29;13.154;13.019;12.883;12.747;12.612;12.476;12.34;12.205;12.069;11.933;11.797;11.662;11.526
157;0;0.52;1.04;1.56;2.08;2.71;3.34;4.208;5.076;5.268;5.46;5.88;6.3;6.71;7.12;7.6;8.08;8.576;9.072;9.275;9.614;10.126;10.638;11.16;11.682;12.42;13.158;13.633;14.108;14.57;15.032;14.987;14.941;14.896;14.85;14.805;14.76;14.714;14.669;14.623;14.578;14.35;14.304;14.259;14.215;14.171;14.127;14.083;14.038;13.994;13.95;13.816;13.681;13.547;13.412;13.278;13.144;13.009;12.875;12.74;12.606;12.472;12.337;12.203;12.068;11.934;11.8;11.665;11.531;11.396;11.262
158;0;0.505;1.01;1.515;2.02;2.64;3.26;4.107;4.954;5.147;5.34;5.77;6.2;6.59;6.98;7.45;7.92;8.414;8.908;9.085;9.396;9.869;10.342;10.855;11.368;12.105;12.842;13.307;13.772;14.245;14.718;14.674;14.631;14.587;14.544;14.5;14.456;14.413;14.369;14.326;14.282;14.057;13.97;13.932;13.893;13.854;13.815;13.776;13.738;13.699;13.66;13.527;13.394;13.261;13.128;12.995;12.861;12.728;12.595;12.462;12.329;12.196;12.063;11.93;11.797;11.664;11.53;11.397;11.264;11.131;10.998
159;0;0.49;0.98;1.47;1.96;2.57;3.18;4.006;4.832;5.026;5.22;5.66;6.1;6.47;6.84;7.3;7.76;8.252;8.744;8.895;9.178;9.612;10.046;10.55;11.054;11.79;12.526;12.981;13.436;13.92;14.404;14.362;14.32;14.279;14.237;14.195;14.153;14.111;14.07;14.028;13.986;13.765;13.637;13.604;13.57;13.537;13.504;13.47;13.437;13.403;13.37;13.238;13.106;12.975;12.843;12.711;12.579;12.447;12.316;12.184;12.052;11.92;11.788;11.657;11.525;11.393;11.261;11.129;10.998;10.866;10.734
160;0;0.475;0.95;1.425;1.9;2.5;3.1;3.905;4.71;4.905;5.1;5.55;6;6.35;6.7;7.15;7.6;8.09;8.58;8.705;8.96;9.355;9.75;10.245;10.74;11.475;12.21;12.655;13.1;13.595;14.09;14.05;14.01;13.97;13.93;13.89;13.85;13.81;13.77;13.73;13.69;13.473;13.304;13.276;13.248;13.22;13.192;13.164;13.136;13.108;13.08;12.95;12.819;12.689;12.558;12.428;12.297;12.167;12.036;11.906;11.775;11.645;11.514;11.384;11.253;11.123;10.992;10.862;10.731;10.601;10.47
161;0;0.467;0.935;1.403;1.87;2.457;3.045;3.832;4.619;4.815;5.01;5.453;5.895;6.24;6.585;7.028;7.47;7.948;8.426;8.555;8.813;9.198;9.583;10.067;10.553;11.268;11.984;12.421;12.859;13.351;13.843;13.804;13.765;13.725;13.686;13.646;13.607;13.567;13.528;13.488;13.449;13.236;13.023;12.977;12.954;12.93;12.906;12.883;12.86;12.836;12.813;12.686;12.559;12.432;12.306;12.179;12.052;11.925;11.799;11.672;11.545;11.419;11.292;11.165;11.038;10.912;10.785;10.658;10.531;10.405;10.278
162;0;0.46;0.92;1.38;1.84;2.415;2.99;3.76;4.529;4.725;4.92;5.355;5.79;6.13;6.47;6.905;7.34;7.806;8.272;8.406;8.665;9.04;9.415;9.89;10.365;11.061;11.757;12.187;12.617;13.107;13.597;13.558;13.519;13.48;13.441;13.403;13.364;13.325;13.286;13.247;13.208;12.999;12.79;12.678;12.659;12.64;12.621;12.602;12.583;12.564;12.545;12.422;12.299;12.176;12.053;11.93;11.807;11.684;11.561;11.438;11.316;11.193;11.07;10.947;10.824;10.701;10.578;10.455;10.332;10.209;10.086
163;0;0.453;0.905;1.358;1.81;2.373;2.935;3.687;4.438;4.634;4.83;5.258;5.685;6.02;6.355;6.783;7.21;7.664;8.118;8.256;8.518;8.883;9.247;9.713;10.178;10.854;11.531;11.953;12.375;12.863;13.351;13.312;13.274;13.235;13.197;13.159;13.12;13.082;13.044;13.005;12.967;12.762;12.557;12.379;12.365;12.35;12.336;12.321;12.307;12.292;12.278;12.158;12.039;11.92;11.801;11.682;11.562;11.443;11.324;11.205;11.086;10.967;10.847;10.728;10.609;10.49;10.371;10.252;10.132;10.013;9.894
164;0;0.445;0.89;1.335;1.78;2.33;2.88;3.614;4.348;4.544;4.74;5.16;5.58;5.91;6.24;6.66;7.08;7.522;7.964;8.107;8.37;8.725;9.08;9.535;9.99;10.647;11.304;11.719;12.134;12.619;13.104;13.066;13.028;12.991;12.953;12.915;12.877;12.839;12.802;12.764;12.726;12.525;12.324;12.124;12.07;12.06;12.05;12.04;12.03;12.02;12.01;11.895;11.779;11.664;11.548;11.433;11.318;11.202;11.087;10.971;10.856;10.741;10.625;10.51;10.394;10.279;10.164;10.048;9.933;9.817;9.702
165;0;0.437;0.875;1.313;1.75;2.288;2.825;3.541;4.257;4.454;4.65;5.062;5.475;5.8;6.125;6.538;6.95;7.38;7.81;7.958;8.223;8.568;8.913;9.358;9.803;10.44;11.078;11.485;11.892;12.375;12.857;12.82;12.783;12.746;12.709;12.671;12.634;12.597;12.56;12.522;12.485;12.288;12.092;11.895;11.776;11.77;11.765;11.759;11.753;11.748;11.743;11.631;11.519;11.408;11.296;11.184;11.073;10.961;10.85;10.738;10.626;10.515;10.403;10.291;10.18;10.068;9.957;9.845;9.733;9.622;9.51
166;0;0.43;0.86;1.29;1.72;2.245;2.77;3.469;4.167;4.363;4.56;4.965;5.37;5.69;6.01;6.415;6.82;7.238;7.656;7.808;8.075;8.41;8.745;9.18;9.615;10.233;10.851;11.251;11.651;12.131;12.611;12.574;12.538;12.501;12.464;12.427;12.391;12.354;12.317;12.281;12.244;12.051;11.859;11.666;11.481;11.48;11.479;11.478;11.477;11.476;11.475;11.367;11.259;11.151;11.044;10.936;10.828;10.72;10.612;10.504;10.397;10.289;10.181;10.073;9.965;9.857;9.749;9.642;9.534;9.426;9.318
167;0;0.423;0.845;1.267;1.69;2.203;2.715;3.396;4.077;4.273;4.47;4.868;5.265;5.58;5.895;6.293;6.69;7.096;7.502;7.659;7.928;8.253;8.578;9.003;9.428;10.026;10.625;11.017;11.41;11.887;12.365;12.328;12.292;12.256;12.22;12.184;12.148;12.111;12.075;12.039;12.003;11.814;11.626;11.437;11.248;11.19;11.194;11.197;11.201;11.204;11.208;11.103;10.999;10.895;10.791;10.687;10.583;10.479;10.375;10.271;10.167;10.063;9.959;9.855;9.75;9.646;9.542;9.438;9.334;9.23;9.126
168;0;0.415;0.83;1.245;1.66;2.16;2.66;3.323;3.986;4.183;4.38;4.77;5.16;5.47;5.78;6.17;6.56;6.954;7.348;7.509;7.78;8.095;8.41;8.825;9.24;9.819;10.398;10.783;11.168;11.643;12.118;12.082;12.047;12.011;11.976;11.94;11.904;11.869;11.833;11.798;11.762;11.577;11.393;11.208;11.024;10.9;10.908;10.916;10.924;10.932;10.94;10.84;10.739;10.639;10.539;10.439;10.338;10.238;10.138;10.037;9.937;9.837;9.736;9.636;9.536;9.436;9.335;9.235;9.135;9.034;8.934
169;0;0.408;0.815;1.223;1.63;2.118;2.605;3.25;3.896;4.093;4.29;4.672;5.055;5.36;5.665;6.048;6.43;6.812;7.194;7.36;7.633;7.938;8.243;8.648;9.053;9.612;10.172;10.549;10.927;11.399;11.872;11.836;11.801;11.766;11.731;11.696;11.661;11.626;11.591;11.556;11.521;11.34;11.16;10.979;10.799;10.642;10.623;10.635;10.648;10.66;10.673;10.576;10.479;10.383;10.286;10.19;10.093;9.997;9.9;9.804;9.707;9.611;9.514;9.418;9.321;9.225;9.128;9.032;8.935;8.839;8.742
170;0;0.4;0.8;1.2;1.6;2.075;2.55;3.177;3.805;4.002;4.2;4.575;4.95;5.25;5.55;5.925;6.3;6.67;7.04;7.21;7.485;7.78;8.075;8.47;8.865;9.405;9.945;10.315;10.685;11.155;11.625;11.591;11.556;11.522;11.487;11.452;11.418;11.384;11.349;11.314;11.28;11.104;10.927;10.75;10.574;10.42;10.337;10.354;10.371;10.388;10.405;10.312;10.22;10.127;10.034;9.941;9.849;9.756;9.663;9.57;9.478;9.385;9.292;9.199;9.107;9.014;8.921;8.828;8.736;8.643;8.55
171;0;0.392;0.785;1.178;1.57;2.032;2.495;3.105;3.715;3.912;4.11;4.477;4.845;5.14;5.435;5.803;6.17;6.528;6.886;7.061;7.338;7.623;7.908;8.293;8.678;9.198;9.718;10.081;10.444;10.911;11.378;11.345;11.311;11.277;11.243;11.209;11.175;11.141;11.107;11.073;11.039;10.867;10.694;10.522;10.349;10.199;10.065;10.073;10.095;10.116;10.138;10.049;9.96;9.871;9.782;9.693;9.604;9.515;9.426;9.337;9.248;9.159;9.07;8.981;8.892;8.803;8.714;8.625;8.536;8.447;8.358
172;0;0.385;0.77;1.155;1.54;1.99;2.44;3.032;3.624;3.822;4.02;4.38;4.74;5.03;5.32;5.68;6.04;6.386;6.732;6.911;7.19;7.465;7.74;8.115;8.49;8.991;9.492;9.847;10.202;10.667;11.132;11.099;11.065;11.032;10.998;10.965;10.932;10.898;10.865;10.831;10.798;10.63;10.461;10.293;10.124;9.977;9.846;9.792;9.818;9.844;9.87;9.785;9.7;9.614;9.529;9.444;9.359;9.274;9.188;9.103;9.018;8.933;8.848;8.762;8.677;8.592;8.507;8.422;8.336;8.251;8.166
173;0;0.378;0.755;1.132;1.51;1.947;2.385;2.959;3.534;3.732;3.93;4.283;4.635;4.92;5.205;5.558;5.91;6.244;6.578;6.761;7.043;7.308;7.573;7.938;8.303;8.784;9.266;9.613;9.961;10.423;10.886;10.853;10.82;10.787;10.754;10.721;10.688;10.656;10.623;10.59;10.557;10.393;10.228;10.064;9.9;9.756;9.628;9.511;9.542;9.572;9.603;9.521;9.44;9.358;9.277;9.195;9.114;9.033;8.951;8.87;8.788;8.707;8.625;8.544;8.463;8.381;8.3;8.218;8.137;8.055;7.974
174;0;0.37;0.74;1.11;1.48;1.905;2.33;2.887;3.443;3.641;3.84;4.185;4.53;4.81;5.09;5.435;5.78;6.102;6.424;6.612;6.895;7.15;7.405;7.76;8.115;8.577;9.039;9.379;9.719;10.179;10.639;10.607;10.574;10.542;10.51;10.478;10.445;10.413;10.381;10.348;10.316;10.156;9.995;9.835;9.675;9.534;9.41;9.286;9.265;9.3;9.335;9.257;9.18;9.102;9.024;8.947;8.869;8.791;8.714;8.636;8.559;8.481;8.403;8.326;8.248;8.17;8.093;8.015;7.937;7.86;7.782
175;0;0.363;0.725;1.088;1.45;1.863;2.275;2.814;3.353;3.551;3.75;4.088;4.425;4.7;4.975;5.313;5.65;5.96;6.27;6.463;6.748;6.993;7.238;7.583;7.928;8.37;8.813;9.145;9.478;9.935;10.393;10.361;10.329;10.297;10.266;10.234;10.202;10.17;10.139;10.107;10.075;9.919;9.763;9.606;9.45;9.313;9.192;9.071;8.989;9.028;9.068;8.994;8.92;8.846;8.772;8.698;8.624;8.55;8.477;8.403;8.329;8.255;8.181;8.107;8.033;7.959;7.886;7.812;7.738;7.664;7.59
176;0;0.355;0.71;1.065;1.42;1.82;2.22;2.741;3.262;3.461;3.66;3.99;4.32;4.59;4.86;5.19;5.52;5.818;6.116;6.313;6.6;6.835;7.07;7.405;7.74;8.163;8.586;8.911;9.236;9.691;10.146;10.115;10.084;10.052;10.021;9.99;9.959;9.928;9.896;9.865;9.834;9.682;9.53;9.377;9.225;9.091;8.973;8.855;8.738;8.756;8.8;8.73;8.66;8.59;8.52;8.45;8.379;8.309;8.239;8.169;8.099;8.029;7.959;7.889;7.819;7.749;7.678;7.608;7.538;7.468;7.398
177;0;0.348;0.695;1.043;1.39;1.778;2.165;2.668;3.172;3.371;3.57;3.893;4.215;4.48;4.745;5.068;5.39;5.676;5.962;6.164;6.453;6.678;6.903;7.228;7.553;7.956;8.36;8.677;8.995;9.447;9.9;9.869;9.838;9.808;9.777;9.746;9.716;9.685;9.654;9.624;9.593;9.445;9.297;9.149;9;8.87;8.755;8.64;8.526;8.484;8.533;8.466;8.4;8.334;8.267;8.201;8.135;8.068;8.002;7.936;7.869;7.803;7.737;7.67;7.604;7.538;7.471;7.405;7.339;7.272;7.206
178;0;0.34;0.68;1.02;1.36;1.735;2.11;2.596;3.081;3.281;3.48;3.795;4.11;4.37;4.63;4.945;5.26;5.534;5.808;6.014;6.305;6.52;6.735;7.05;7.365;7.749;8.133;8.443;8.753;9.203;9.653;9.623;9.593;9.563;9.533;9.503;9.472;9.442;9.412;9.382;9.352;9.208;9.064;8.92;8.776;8.648;8.537;8.425;8.314;8.212;8.265;8.202;8.14;8.077;8.015;7.952;7.89;7.827;7.765;7.702;7.64;7.577;7.514;7.452;7.389;7.327;7.264;7.202;7.139;7.077;7.014
179;0;0.333;0.665;0.997;1.33;1.693;2.055;2.523;2.991;3.19;3.39;3.698;4.005;4.26;4.515;4.823;5.13;5.392;5.654;5.865;6.158;6.363;6.568;6.873;7.178;7.542;7.907;8.209;8.512;8.959;9.407;9.377;9.347;9.318;9.288;9.259;9.229;9.2;9.17;9.141;9.111;8.971;8.831;8.691;8.551;8.427;8.318;8.21;8.102;7.994;7.998;7.939;7.88;7.821;7.762;7.704;7.645;7.586;7.527;7.469;7.41;7.351;7.292;7.233;7.175;7.116;7.057;6.998;6.94;6.881;6.822
180;0;0.325;0.65;0.975;1.3;1.65;2;2.45;2.9;3.1;3.3;3.6;3.9;4.15;4.4;4.7;5;5.25;5.5;5.715;6.01;6.205;6.4;6.695;6.99;7.335;7.68;7.975;8.27;8.715;9.16;9.131;9.102;9.073;9.044;9.015;8.986;8.957;8.928;8.899;8.87;8.734;8.598;8.462;8.326;8.205;8.1;7.995;7.89;7.785;7.73;7.675;7.62;7.565;7.51;7.455;7.4;7.345;7.29;7.235;7.18;7.125;7.07;7.015;6.96;6.905;6.85;6.795;6.74;6.685;6.63
